id,Faixa Etária,Gênero,Cor,Área de Residência,Tipo de Escola no Ensino Médio,Trabalha,Renda Individual,Escolaridade dos Cuidadores,Renda Familiar Total,Área Conhecimento,Período,responsaveis_custear_estudos,Bolsa ProUni,Foi bom aluno no E.M,Incentivo para Universidade,Influência externa na decisão,Contato com graduados,Capital cultural,Satisfação com a escolha do curso,Satisfação com o desempenho,Percepção de satisfação dos professores,Participação em atividades extracurriculares,Relações positivas na universidade,Organização do tempo,Outras responsabilidades não interferem nos estudos,Ambiente adequado em casa,Teve expansão cultural,Tem suporte dos amigos,Percebe suporte da Universidade,Mal-estar na Universidade,Prejuízos por desafios extraacadêmicos,Frequentemente deseja trancar o curso,Expectativas alcançadas,Faixa Etária_numerico,Gênero_numerico,Cor_numerico,Área de Residência_numerico,Tipo de Escola no Ensino Médio_numerico,Trabalha_numerico,Renda Individual_numerico,Escolaridade dos Cuidadores_numerico,Renda Familiar Total_numerico,Área Conhecimento_numerico,Período_numerico,responsaveis_custear_estudos_numerico,Bolsa ProUni_numerico,Foi bom aluno no E.M_numerico,Incentivo para Universidade_numerico,Influência externa na decisão_numerico,Contato com graduados_numerico,Capital cultural_numerico,Satisfação com a escolha do curso_numerico,Satisfação com o desempenho_numerico,Percepção de satisfação dos professores_numerico,Participação em atividades extracurriculares_numerico,Relações positivas na universidade_numerico,Organização do tempo_numerico,Outras responsabilidades não interferem nos estudos_numerico,Ambiente adequado em casa_numerico,Teve expansão cultural_numerico,Tem suporte dos amigos_numerico,Percebe suporte da Universidade_numerico,Mal-estar na Universidade_numerico,Prejuízos por desafios extraacadêmicos_numerico,Frequentemente deseja trancar o curso_numerico,Expectativas alcançadas_numerico
11,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular sem bolsa de estudos.,"Sim, regularmente, em período integral.",Até 1 salário mínimo e meio,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,9° Período,Meus estudos são custeados em parte por mim e em parte por outra(s) pessoa(s).,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Não concordo nem discordo,Concordo,Discordo,Concordo,Concordo,Discordo,Concordo,4,3,5,3,4,2,8,5,5,5,1,36,2,3,3,3,3,3,3,3,3,3,3,1,1,1,2,3,1,3,3,1,3
12,entre 18 e 29 anos.,Mulher cisgênero.,Parda.,Área de vulnerabilidade social,Escola pública.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Ensino Médio completo.,Até 1 salário mínimo e meio,Ciências Humanas,3° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,4,3,3,1,1,1,2,7,8,5,7,5,1,3,3,3,1,3,3,3,2,3,3,2,1,3,1,3,1,3,3,2,2
13,entre 18 e 29 anos.,Homem cisgênero.,Branca.,Zona urbana central.,Escola pública.,"Sim, regularmente, em período integral.",Menos que 1 salário mínimo,Ensino Fundamental completo.,Até 1 salário mínimo e meio,Ciências Humanas,5° Período,"Meus estudos são custeados integralmente por outra(s) pessoa(s)., Tenho bolsa de estudos por vir de transferência externa.",Não,Concordo,Não concordo nem discordo,Concordo,Discordo,Discordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Não concordo nem discordo,4,4,5,3,1,2,2,8,8,5,5,18,2,3,2,3,1,1,3,2,3,3,3,2,1,3,3,3,3,1,1,1,2
14,entre 18 e 29 anos.,Prefiro não dizer.,Branca.,Zona urbana central.,Escola pública.,Não trabalho nem exerço atividade remunerada.,Sem renda ou preferiu não informar,Graduação completa.,Não sabe ou preferiu não informar,Ciências Humanas,3° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Concordo,4,1,5,3,1,4,1,5,1,5,7,25,2,3,3,1,3,3,3,2,3,1,3,3,2,3,3,2,2,2,1,2,3
15,entre 30 e 39 anos.,Homem cisgênero.,Branca.,Zona urbana periférica.,Escola pública.,Não trabalho nem exerço atividade remunerada.,Sem renda ou preferiu não informar,Pós-graduação incompleta.,De 7 a 11 salários mínimos,Ciências Humanas,3° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Não concordo nem discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Discordo,Concordo,3,4,5,2,1,4,1,2,3,5,7,25,2,3,3,3,3,3,3,3,3,1,2,1,1,3,1,3,2,3,3,1,3
16,entre 30 e 39 anos.,Mulher cisgênero.,Parda.,Zona urbana central.,Escola pública.,"Sim, eventualmente.",Menos que 1 salário mínimo,Ensino Médio completo.,De 4 a 6 salários mínimos,Ciências da Saúde,10° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Não concordo nem discordo,Discordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Discordo,Discordo,Discordo,3,3,3,3,1,3,2,7,5,3,12,25,2,3,2,1,1,1,3,3,3,3,3,3,3,3,3,2,2,3,1,1,1
17,entre 18 e 29 anos.,Mulher cisgênero.,Parda.,Zona rural.,Escola pública.,Não trabalho nem exerço atividade remunerada.,Sem renda ou preferiu não informar,Ensino Médio completo.,Até 1 salário mínimo e meio,Ciências Humanas,3° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,4,3,3,4,1,4,1,7,8,5,7,5,1,3,3,2,3,3,3,3,3,1,3,2,3,3,3,3,3,3,1,1,3
18,entre 18 e 29 anos.,Mulher cisgênero.,Preta.,Área de vulnerabilidade social,Escola particular com bolsa de estudos.,"Sim, regularmente, em período integral.",Até 1 salário mínimo e meio,Ensino Médio completo.,De 4 a 6 salários mínimos,Ciências Humanas,10° Período,Tenho bolsa institucional,Não,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,4,3,1,1,5,2,8,7,5,5,12,1,2,3,3,3,1,1,3,2,2,3,3,2,1,3,3,3,1,3,3,2,2
19,60 anos ou mais.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular sem bolsa de estudos.,"Sim, regularmente, em período parcial.",Acima de 11 salários mínimos,Ensino Médio completo.,Acima de 11 salários mínimos,Ciências Humanas,2° Período,Meus estudos são custeados integralmente por mim.,Não,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,5,3,5,3,4,1,9,7,9,5,8,31,2,3,2,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,2
20,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular sem bolsa de estudos.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,3° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Discordo,Não concordo nem discordo,4,3,5,3,4,1,2,5,5,5,7,25,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,1,2
21,entre 18 e 29 anos.,Mulher cisgênero.,Preta.,Área de vulnerabilidade social,Escola pública.,"Sim, regularmente, em período integral.",Menos que 1 salário mínimo,Ensino Médio completo.,Até 3 salários mínimos,Ciências Humanas,10° Período,Tenho bolsa de estudos parcial pelo Bolsa Social PUC Minas.,Não,Concordo,Concordo,Concordo,Discordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,4,3,1,1,1,2,2,7,7,5,12,4,2,3,3,3,1,2,3,2,3,3,3,1,1,2,3,3,2,3,3,2,3
22,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular sem bolsa de estudos.,Não trabalho nem exerço atividade remunerada.,Até 1 salário mínimo e meio,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,6° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Não concordo nem discordo,4,3,5,3,4,4,8,5,5,5,4,25,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,2,2,1,2,2
23,entre 18 e 29 anos.,Homem cisgênero.,Preta.,Zona urbana periférica.,Escola particular com bolsa de estudos.,"Sim, eventualmente.",Sem renda ou preferiu não informar,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,9° Período,"Meus estudos são custeados integralmente por outra(s) pessoa(s)., Tenho benefício e/ou desconto institucional (professores, funcionários, ex-alunos, empresas parceiras, etc.).",Não,Concordo,Concordo,Não concordo nem discordo,Discordo,Discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Discordo,Não concordo nem discordo,Discordo,Discordo,Discordo,Discordo,Concordo,Concordo,Discordo,Concordo,4,4,1,2,5,3,1,5,5,5,1,22,2,3,3,2,1,1,3,3,2,3,3,1,2,1,1,1,1,3,3,1,3
24,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular sem bolsa de estudos.,"Sim, regularmente, em período parcial.",Sem renda ou preferiu não informar,Pós-graduação completa,Acima de 11 salários mínimos,Ciências da Saúde,11° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Discordo,Discordo,4,3,5,3,4,1,1,3,9,3,11,25,2,2,3,3,3,3,3,3,3,3,3,2,1,2,3,2,2,3,2,1,1
25,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular sem bolsa de estudos.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Ensino Médio completo.,De 4 a 6 salários mínimos,Ciências Humanas,9° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,4,3,5,3,4,1,2,7,5,5,1,25,2,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,1,3,3,3,2
26,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola pública.,"Sim, regularmente, em período integral.",Menos que 1 salário mínimo,Ensino Médio completo.,Até 3 salários mínimos,Ciências Humanas,8° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Concordo,Discordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Discordo,Não concordo nem discordo,4,3,5,3,1,2,2,7,7,5,2,5,1,3,3,3,1,2,3,2,2,1,2,2,1,3,3,3,1,3,3,1,2
27,entre 18 e 29 anos.,Mulher cisgênero.,Parda.,Zona urbana central.,Escola particular com bolsa de estudos.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Ensino Médio completo.,Até 3 salários mínimos,Ciências Humanas,7° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,4,3,3,3,5,1,2,7,7,5,3,5,1,3,3,3,2,1,3,2,2,2,2,2,1,2,3,3,2,2,2,2,2
28,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola pública.,"Sim, regularmente, em período integral.",Até 1 salário mínimo e meio,Graduação incompleta.,De 4 a 6 salários mínimos,Ciências Humanas,10° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Não concordo nem discordo,Concordo,Discordo,Concordo,Concordo,Discordo,Concordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Discordo,Concordo,Discordo,Concordo,Não concordo nem discordo,4,3,5,3,1,2,8,4,5,5,12,25,2,2,3,1,3,3,1,3,2,3,2,3,3,3,2,3,1,3,1,3,2
29,entre 18 e 29 anos.,Mulher cisgênero.,Parda.,Zona urbana periférica.,Escola particular com bolsa de estudos.,Não trabalho nem exerço atividade remunerada.,Sem renda ou preferiu não informar,Graduação completa.,Até 3 salários mínimos,Ciências Humanas,2° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Discordo,Concordo,4,3,3,2,5,4,1,5,7,5,8,25,2,3,3,3,3,3,3,2,2,1,3,3,1,3,3,3,2,2,1,1,3
30,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola particular com bolsa de estudos.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Graduação completa.,De 4 a 6 salários mínimos,Ciências da Saúde,6° Período,"Meus estudos são custeados integralmente por outra(s) pessoa(s)., Tenho benefício e/ou desconto institucional (professores, funcionários, ex-alunos, empresas parceiras, etc.).",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Discordo,Não concordo nem discordo,Discordo,Discordo,Não concordo nem discordo,4,3,5,2,5,1,2,5,5,3,4,22,2,1,3,3,3,3,3,3,3,3,3,2,3,2,1,3,1,2,1,1,2
31,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular com bolsa de estudos.,"Sim, regularmente, em período integral.",Até 3 salários mínimos,Pós-graduação completa,De 4 a 6 salários mínimos,Ciências Sociais,3° Período,"Meus estudos são custeados em parte por mim e em parte por outra(s) pessoa(s)., Tenho benefício e/ou desconto institucional (professores, funcionários, ex-alunos, empresas parceiras, etc.).",Não,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Discordo,Concordo,Discordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,4,3,5,3,5,2,7,3,5,4,7,34,2,3,3,1,3,3,3,2,2,1,3,3,1,3,1,2,1,3,3,2,2
32,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola pública.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Ensino Fundamental Incompleto,De 4 a 6 salários mínimos,Ciências Humanas,10° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Não concordo nem discordo,Concordo,Discordo,Discordo,Concordo,Não concordo nem discordo,Concordo,Discordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,4,3,5,2,1,1,2,9,5,5,12,5,1,3,2,3,1,1,3,2,3,1,3,1,1,3,3,3,1,3,3,3,1
33,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola pública.,"Sim, regularmente, em período integral.",Menos que 1 salário mínimo,Ensino Fundamental completo.,Até 3 salários mínimos,Ciências Humanas,10° Período,Meus estudos são custeados integralmente por mim.,Não,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Discordo,Discordo,Não concordo nem discordo,Concordo,Discordo,Concordo,Discordo,Discordo,Não concordo nem discordo,4,3,5,2,1,2,2,8,7,5,12,31,2,3,3,3,2,1,3,3,3,2,3,3,1,1,2,3,1,3,1,1,2
34,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola pública.,Não trabalho nem exerço atividade remunerada.,Sem renda ou preferiu não informar,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,2° Período,"Meus estudos são custeados integralmente por outra(s) pessoa(s)., Tenho bolsa de estudos integral pelo PROUNI.",Sim,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,4,3,5,3,1,4,1,5,5,5,8,21,1,3,3,3,3,1,3,3,2,1,3,3,3,3,3,3,3,3,2,1,3
35,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola pública.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Ensino Médio completo.,Até 3 salários mínimos,Ciências Sociais,6° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Concordo,Discordo,Discordo,Não concordo nem discordo,4,3,5,2,1,1,2,7,7,4,4,5,1,3,3,2,3,2,3,3,3,2,3,2,1,3,2,2,1,3,1,1,2
